,variable
,MOY
datetime,
1988-12-31,-13.761290322580646
1989-12-31,-21.370967741935484
1990-12-31,-10.370967741935484
1991-12-31,-12.909677419354837
1992-12-31,-9.048387096774194
1993-12-31,-11.464516129032257
1994-12-31,-8.741935483870968
1995-12-31,-12.429032258064515
1996-12-31,-5.851612903225806
1997-12-31,-11.72258064516129
1998-12-31,-9.048387096774194
1999-12-31,-8.338709677419354
2000-12-31,-13.967741935483868
2001-12-31,-5.14516129032258
2002-12-31,-10.8
2003-12-31,-9.380645161290323
2004-12-31,-14.03225806451613
2005-12-31,-11.019354838709676
2006-12-31,-7.412903225806451
2007-12-31,-12.154838709677415
2008-12-31,-12.709677419354838
2009-12-31,-9.870967741935484
2010-12-31,-9.429032258064517
2011-12-31,-9.390322580645163
2012-12-31,-9.2
2013-12-31,-16.474193548387095
2014-12-31,-9.95483870967742
2015-12-31,-2.883870967741936
2016-12-31,-11.806451612903228
2017-12-31,-15.16451612903226
2018-12-31,-13.6258064516129
