,variable
,MOY
datetime,
1988-07-31,15.980645161290324
1989-07-31,14.364516129032259
1990-07-31,14.93225806451613
1991-07-31,14.383870967741938
1992-07-31,12.067741935483872
1993-07-31,15.222580645161292
1994-07-31,15.40645161290323
1995-07-31,15.69032258064516
1996-07-31,14.8
1997-07-31,14.051612903225807
1998-07-31,14.293548387096775
1999-07-31,14.929032258064517
2000-07-31,13.619354838709679
2001-07-31,13.141935483870968
2002-07-31,15.116129032258064
2003-07-31,13.625806451612902
2004-07-31,14.674193548387096
2005-07-31,14.72258064516129
2006-07-31,15.812903225806451
2007-07-31,13.622580645161287
2008-07-31,15.151612903225802
2009-07-31,13.80322580645161
2010-07-31,16.24838709677419
2011-07-31,15.12258064516129
2012-07-31,13.990322580645163
2013-07-31,14.787096774193547
2014-07-31,13.761290322580647
2015-07-31,13.445161290322583
2016-07-31,14.048387096774192
2017-07-31,13.287096774193552
2018-07-31,14.974193548387097
