,variable
,MOY
datetime,
1988-04-30,1.0466666666666666
1989-04-30,-0.6433333333333332
1990-04-30,0.3033333333333334
1991-04-30,0.92
1992-04-30,-0.8166666666666665
1993-04-30,0.94
1994-04-30,-0.8200000000000001
1995-04-30,-2.4733333333333336
1996-04-30,0.3607142857142857
1997-04-30,-2.6933333333333334
1998-04-30,1.0266666666666668
1999-04-30,-0.0033333333333333335
2000-04-30,-0.08000000000000002
2001-04-30,-0.85
2002-04-30,-0.22666666666666668
2003-04-30,-3.1700000000000004
2004-04-30,-0.4166666666666666
2005-04-30,0.59
2006-04-30,0.8533333333333332
2007-04-30,-0.5899999999999999
2008-04-30,0.4233333333333333
2009-04-30,0.9966666666666667
2010-04-30,2.1199999999999997
2011-04-30,-0.45
2012-04-30,0.31
2013-04-30,-1.0533333333333332
2014-04-30,-2.856666666666667
2015-04-30,-2.413333333333333
2016-04-30,-4.4433333333333325
2017-04-30,0.1733333333333333
2018-04-30,-3.5900000000000003
