,Date,Indice JJA
0,1988,-0.9500000000000001
1,1989,-2.7
2,1990,-2.6
3,1991,0.25
4,1992,-2.1
5,1993,-1.9
6,1994,-1.95
7,1995,-5.2
8,1996,-0.89
9,1997,-4.7
10,1998,-0.45
11,1999,-1.15
12,2000,-1.2999999999999998
13,2001,-2.55
14,2002,-2.45
15,2003,-6.35
16,2004,-1.8
17,2005,-1.15
18,2006,-1.05
19,2007,-2.7
20,2008,-0.5
21,2009,-0.9
22,2010,0.8
23,2011,-1.75
24,2012,-1.4500000000000002
25,2013,-3.7
26,2014,-4.699999999999999
27,2015,-2.85
28,2016,-5.25
29,2017,-0.6
30,2018,-5.85
