,variable
,MOY
datetime,
1988-02-29,-14.644827586206898
1989-02-28,-17.45714285714286
1990-02-28,-14.92857142857143
1991-02-28,-13.235714285714286
1992-02-29,-15.810344827586206
1993-02-28,-19.953571428571426
1994-02-28,-17.867857142857144
1995-02-28,-16.817857142857143
1996-02-29,-13.975862068965517
1997-02-28,-14.699999999999998
1998-02-28,-9.39642857142857
1999-02-28,-11.832142857142857
2000-02-29,-13.600000000000001
2001-02-28,-15.207142857142857
2002-02-28,-12.207142857142857
2003-02-28,-17.685714285714287
2004-02-29,-14.489655172413793
2005-02-28,-12.950000000000001
2006-02-28,-13.546428571428574
2007-02-28,-17.146428571428572
2008-02-29,-14.172413793103448
2009-02-28,-12.653571428571428
2010-02-28,-7.982142857142857
2011-02-28,-13.846428571428572
2012-02-29,-13.562068965517241
2013-02-28,-12.864285714285714
2014-02-28,-19.35
2015-02-28,-22.75
2016-02-29,-12.979310344827583
2017-02-28,-12.432142857142855
2018-02-28,-13.653571428571428
