,variable
,Tmax90p
datetime,
1988-05-31,13.85
1989-05-31,12.149999999999999
1990-05-31,9.05
1991-05-31,12.45
1992-05-31,12.65
1993-05-31,11.75
1994-05-31,8.85
1995-05-31,10.350000000000001
1996-05-31,9.15
1997-05-31,8.100000000000001
1998-05-31,11.7
1999-05-31,14.3
2000-05-31,10.65
2001-05-31,11.4
2002-05-31,10.8
2003-05-31,10.5
2004-05-31,9.649999999999999
2005-05-31,10.0
2006-05-31,10.95
2007-05-31,12.3
2008-05-31,9.25
2009-05-31,10.05
2010-05-31,12.8
2011-05-31,13.65
2012-05-31,14.2
2013-05-31,11.649999999999999
2014-05-31,10.35
2015-05-31,14.5
2016-05-31,12.399999999999999
2017-05-31,10.149999999999999
2018-05-31,11.45
