,variable
,MOY
datetime,
1988-01-31,-15.261290322580644
1989-01-31,-15.548387096774192
1990-01-31,-9.800000000000002
1991-01-31,-17.93548387096774
1992-01-31,-17.599999999999998
1993-01-31,-16.119354838709675
1994-01-31,-23.622580645161285
1995-01-31,-11.416129032258068
1996-01-31,-17.113333333333333
1997-01-31,-16.567741935483873
1998-01-31,-12.551612903225807
1999-01-31,-16.277419354838713
2000-01-31,-16.500000000000004
2001-01-31,-15.603225806451613
2002-01-31,-11.148387096774192
2003-01-31,-18.02258064516129
2004-01-31,-20.593548387096774
2005-01-31,-18.864516129032257
2006-01-31,-9.858064516129033
2007-01-31,-14.264516129032257
2008-01-31,-13.035483870967743
2009-01-31,-20.138709677419357
2010-01-31,-10.45483870967742
2011-01-31,-13.038709677419355
2012-01-31,-15.141935483870967
2013-01-31,-16.274193548387096
2014-01-31,-17.58387096774193
2015-01-31,-19.641935483870974
2016-01-31,-12.070967741935485
2017-01-31,-11.916129032258068
2018-01-31,-16.70967741935484
