,variable
,Tmax90p
datetime,
1988-06-30,18.580000000000002
1989-06-30,18.4
1990-06-30,17.76
1991-06-30,18.8
1992-06-30,15.14
1993-06-30,16.64
1994-06-30,17.220000000000002
1995-06-30,16.52
1996-06-30,18.32
1997-06-30,16.520000000000003
1998-06-30,16.62
1999-06-30,18.720000000000002
2000-06-30,18.3
2001-06-30,17.04
2002-06-30,15.460000000000004
2003-06-30,16.3
2004-06-30,14.520000000000001
2005-06-30,18.76
2006-06-30,18.3
2007-06-30,15.88
2008-06-30,15.540000000000001
2009-06-30,16.1
2010-06-30,17.560000000000002
2011-06-30,14.58
2012-06-30,16.68
2013-06-30,13.080000000000002
2014-06-30,14.9
2015-06-30,14.76
2016-06-30,15.660000000000002
2017-06-30,16.560000000000002
2018-06-30,15.58
