,variable
,MOY
datetime,
1988-08-31,14.970967741935484
1989-08-31,14.306451612903226
1990-08-31,14.94838709677419
1991-08-31,14.883870967741933
1992-08-31,13.554838709677423
1993-08-31,15.329032258064517
1994-08-31,12.070967741935485
1995-08-31,13.554838709677421
1996-08-31,13.50322580645161
1997-08-31,12.745161290322581
1998-08-31,13.48709677419355
1999-08-31,13.087096774193547
2000-08-31,13.722580645161289
2001-08-31,13.796774193548389
2002-08-31,13.567741935483872
2003-08-31,14.180645161290322
2004-08-31,13.274193548387094
2005-08-31,13.667741935483873
2006-08-31,12.41935483870968
2007-08-31,12.16451612903226
2008-08-31,13.616129032258065
2009-08-31,14.674193548387098
2010-08-31,14.080645161290322
2011-08-31,14.506451612903225
2012-08-31,14.609677419354842
2013-08-31,13.100000000000001
2014-08-31,12.496774193548386
2015-08-31,14.799999999999999
2016-08-31,14.477419354838709
2017-08-31,11.72903225806452
2018-08-31,14.909677419354841
