,variable
,Tmax90p
datetime,
1988-07-31,20.75
1989-07-31,19.8
1990-07-31,18.7
1991-07-31,19.4
1992-07-31,14.9
1993-07-31,19.05
1994-07-31,19.05
1995-07-31,20.15
1996-07-31,17.8
1997-07-31,17.9
1998-07-31,18.6
1999-07-31,18.65
2000-07-31,17.450000000000003
2001-07-31,17.6
2002-07-31,20.5
2003-07-31,17.1
2004-07-31,17.55
2005-07-31,19.5
2006-07-31,19.4
2007-07-31,18.1
2008-07-31,17.8
2009-07-31,17.049999999999997
2010-07-31,20.65
2011-07-31,18.6
2012-07-31,17.85
2013-07-31,19.25
2014-07-31,17.9
2015-07-31,16.3
2016-07-31,18.65
2017-07-31,16.55
2018-07-31,19.799999999999997
