,variable
,Tmax90p
datetime,
1988-12-31,-3.3
1989-12-31,-12.4
1990-12-31,-1.75
1991-12-31,-4.3
1992-12-31,-0.25
1993-12-31,0.14999999999999997
1994-12-31,-0.30000000000000004
1995-12-31,-5.050000000000001
1996-12-31,0.6499999999999999
1997-12-31,-3.4000000000000004
1998-12-31,-1.45
1999-12-31,0.3
2000-12-31,-6.2
2001-12-31,0.8500000000000001
2002-12-31,-1.7
2003-12-31,-1.0
2004-12-31,-5.7
2005-12-31,-3.75
2006-12-31,0.30000000000000004
2007-12-31,-4.25
2008-12-31,-1.95
2009-12-31,-3.0
2010-12-31,-1.6
2011-12-31,-1.0
2012-12-31,-0.8500000000000001
2013-12-31,-6.6
2014-12-31,-0.15000000000000002
2015-12-31,1.4500000000000002
2016-12-31,-2.45
2017-12-31,-2.7
2018-12-31,-2.8
