,variable
,Tmin10p
datetime,
1988-09-30,3.0400000000000005
1989-09-30,1.7600000000000005
1990-09-30,3.34
1991-09-30,0.920000000000001
1992-09-30,2.460000000000001
1993-09-30,2.22
1994-09-30,4.22
1995-09-30,1.0700000000000005
1996-09-30,4.74
1997-09-30,2.6200000000000006
1998-09-30,4.08
1999-09-30,6.4
2000-09-30,1.1800000000000002
2001-09-30,3.68
2002-09-30,5.44
2003-09-30,5.28
2004-09-30,4.18
2005-09-30,4.74
2006-09-30,2.98
2007-09-30,2.7600000000000002
2008-09-30,2.4800000000000004
2009-09-30,4.48
2010-09-30,4.48
2011-09-30,4.46
2012-09-30,1.36
2013-09-30,3.64
2014-09-30,1.6000000000000005
2015-09-30,4.640000000000001
2016-09-30,2.22
2017-09-30,5.12
2018-09-30,2.8000000000000003
