,variable
,Tmin10p
datetime,
1988-02-29,-22.66
1989-02-28,-27.8
1990-02-28,-23.7
1991-02-28,-23.580000000000002
1992-02-29,-26.34
1993-02-28,-28.78
1994-02-28,-28.94
1995-02-28,-27.08
1996-02-29,-26.25
1997-02-28,-23.6
1998-02-28,-18.02
1999-02-28,-21.56
2000-02-29,-23.28
2001-02-28,-22.1
2002-02-28,-22.54
2003-02-28,-29.740000000000002
2004-02-29,-23.919999999999998
2005-02-28,-22.799999999999997
2006-02-28,-23.400000000000002
2007-02-28,-23.740000000000002
2008-02-29,-22.34
2009-02-28,-20.54
2010-02-28,-18.9
2011-02-28,-20.62
2012-02-29,-24.189999999999998
2013-02-28,-23.38
2014-02-28,-26.74
2015-02-28,-30.64
2016-02-29,-22.55
2017-02-28,-23.6
2018-02-28,-21.02
