,variable
,Tmax90p
datetime,
1988-01-31,-4.2
1989-01-31,-5.1
1990-01-31,-1.15
1991-01-31,-8.5
1992-01-31,-3.9
1993-01-31,-5.15
1994-01-31,-14.5
1995-01-31,-2.3499999999999996
1996-01-31,-4.6199999999999966
1997-01-31,-7.1
1998-01-31,-3.8
1999-01-31,-5.05
2000-01-31,-6.75
2001-01-31,-9.2
2002-01-31,-4.2
2003-01-31,-11.25
2004-01-31,-11.05
2005-01-31,-10.8
2006-01-31,-2.0
2007-01-31,-2.25
2008-01-31,-1.2
2009-01-31,-10.85
2010-01-31,-3.8499999999999996
2011-01-31,-5.6
2012-01-31,-4.6
2013-01-31,-2.55
2014-01-31,-3.05
2015-01-31,-9.6
2016-01-31,-4.6
2017-01-31,-2.2
2018-01-31,-5.15
