,variable
,Tmax90p
datetime,
1988-08-31,21.7
1989-08-31,19.15
1990-08-31,19.15
1991-08-31,18.75
1992-08-31,17.45
1993-08-31,19.15
1994-08-31,16.85
1995-08-31,18.75
1996-08-31,17.05
1997-08-31,16.35
1998-08-31,17.450000000000003
1999-08-31,17.200000000000003
2000-08-31,18.05
2001-08-31,19.15
2002-08-31,19.200000000000003
2003-08-31,18.3
2004-08-31,18.700000000000003
2005-08-31,18.200000000000003
2006-08-31,17.7
2007-08-31,16.65
2008-08-31,16.05
2009-08-31,18.65
2010-08-31,18.6
2011-08-31,17.45
2012-08-31,17.65
2013-08-31,17.35
2014-08-31,15.5
2015-08-31,18.549999999999997
2016-08-31,18.2
2017-08-31,16.299999999999997
2018-08-31,19.1
