,variable
,Tmin10p
datetime,
1988-11-30,-5.819999999999999
1989-11-30,-18.900000000000002
1990-11-30,-7.18
1991-11-30,-8.399999999999999
1992-11-30,-9.82
1993-11-30,-11.12
1994-11-30,-9.4
1995-11-30,-13.959999999999999
1996-11-30,-12.16
1997-11-30,-11.42
1998-11-30,-7.4799999999999995
1999-11-30,-7.259999999999999
2000-11-30,-8.68
2001-11-30,-6.0
2002-11-30,-11.78
2003-11-30,-7.76
2004-11-30,-9.66
2005-11-30,-10.24
2006-11-30,-4.4399999999999995
2007-11-30,-9.0
2008-11-30,-8.139999999999999
2009-11-30,-5.3999999999999995
2010-11-30,-8.36
2011-11-30,-7.46
2012-11-30,-11.56
2013-11-30,-10.96
2014-11-30,-13.8
2015-11-30,-8.62
2016-11-30,-3.1399999999999997
2017-11-30,-11.7
2018-11-30,-16.57
