,Date,Indice JJA
0,1988,18.9
1,1989,18.45
2,1990,18.15
3,1991,18.2
4,1992,16.3
5,1993,18.05
6,1994,16.75
7,1995,16.5
8,1996,16.5
9,1997,15.3
10,1998,15.850000000000001
11,1999,16.85
12,2000,17.45
13,2001,17.25
14,2002,16.85
15,2003,17.35
16,2004,16.35
17,2005,17.15
18,2006,17.1
19,2007,15.649999999999999
20,2008,15.25
21,2009,17.6
22,2010,17.55
23,2011,16.0
24,2012,16.95
25,2013,15.8
26,2014,14.55
27,2015,16.7
28,2016,17.049999999999997
29,2017,15.899999999999999
30,2018,17.5
