,variable
,Tmin10p
datetime,
1988-07-31,12.0
1989-07-31,10.8
1990-07-31,10.15
1991-07-31,9.7
1992-07-31,8.35
1993-07-31,12.0
1994-07-31,10.8
1995-07-31,12.2
1996-07-31,12.18
1997-07-31,9.35
1998-07-31,11.15
1999-07-31,10.100000000000001
2000-07-31,9.649999999999999
2001-07-31,7.3
2002-07-31,10.0
2003-07-31,9.7
2004-07-31,11.5
2005-07-31,9.85
2006-07-31,11.25
2007-07-31,9.8
2008-07-31,12.2
2009-07-31,10.45
2010-07-31,9.95
2011-07-31,12.05
2012-07-31,8.9
2013-07-31,9.05
2014-07-31,9.9
2015-07-31,9.899999999999999
2016-07-31,10.35
2017-07-31,9.4
2018-07-31,9.649999999999999
