,Date,Indice Annuel
0,1988,0.7278688524590167
1,1989,-0.6090410958904114
2,1990,1.4109589041095894
3,1991,0.9301369863013699
4,1992,-0.1303278688524604
5,1993,0.050136986301369736
6,1994,-0.06684931506849309
7,1995,0.340555555555555
8,1996,0.7178272980501397
9,1997,-0.46109589041095816
10,1998,1.9495890410958905
11,1999,1.6194520547945208
12,2000,0.5256830601092904
13,2001,1.2865753424657538
14,2002,0.6599999999999996
15,2003,-0.18027397260273897
16,2004,-0.4071038251366117
17,2005,0.8164383561643839
18,2006,2.2104109589041108
19,2007,0.15945205479451974
20,2008,0.5893442622950815
21,2009,0.4191780821917808
22,2010,2.557808219178081
23,2011,1.622191780821918
24,2012,1.175409836065573
25,2013,0.04164383561643848
26,2014,-1.2221917808219176
27,2015,-0.2742465753424661
28,2016,0.6606557377049185
29,2017,0.16712328767123194
30,2018,-0.34628099173553734
