,variable
,MOY
datetime,
1988-05-31,8.193548387096774
1989-05-31,8.56451612903226
1990-05-31,5.5612903225806445
1991-05-31,7.929032258064516
1992-05-31,6.487096774193549
1993-05-31,7.283870967741935
1994-05-31,4.961290322580646
1995-05-31,5.925806451612903
1996-05-31,4.812903225806451
1997-05-31,4.4322580645161285
1998-05-31,8.483870967741936
1999-05-31,8.287096774193548
2000-05-31,6.261290322580644
2001-05-31,7.322580645161289
2002-05-31,4.432258064516129
2003-05-31,6.051612903225807
2004-05-31,5.338709677419355
2005-05-31,5.970967741935484
2006-05-31,7.9322580645161285
2007-05-31,6.274193548387099
2008-05-31,5.932258064516129
2009-05-31,5.645161290322582
2010-05-31,6.88709677419355
2011-05-31,7.24193548387097
2012-05-31,7.758064516129032
2013-05-31,6.803225806451613
2014-05-31,6.235483870967742
2015-05-31,7.364516129032258
2016-05-31,6.003225806451613
2017-05-31,6.254838709677418
2018-05-31,4.7612903225806456
