,variable
,Tmin10p
datetime,
1988-08-31,8.5
1989-08-31,7.55
1990-08-31,9.75
1991-08-31,11.8
1992-08-31,10.7
1993-08-31,10.5
1994-08-31,7.35
1995-08-31,9.45
1996-08-31,8.95
1997-08-31,8.3
1998-08-31,8.7
1999-08-31,9.600000000000001
2000-08-31,9.2
2001-08-31,8.45
2002-08-31,8.65
2003-08-31,9.2
2004-08-31,8.25
2005-08-31,9.4
2006-08-31,7.3
2007-08-31,7.75
2008-08-31,10.5
2009-08-31,8.05
2010-08-31,10.05
2011-08-31,10.6
2012-08-31,9.6
2013-08-31,8.25
2014-08-31,8.8
2015-08-31,11.55
2016-08-31,10.899999999999999
2017-08-31,6.9
2018-08-31,10.95
