,variable
,Tmin10p
datetime,
1988-03-31,-18.6
1989-03-31,-22.85
1990-03-31,-20.9
1991-03-31,-11.0
1992-03-31,-21.75
1993-03-31,-22.0
1994-03-31,-16.1
1995-03-31,-19.299999999999997
1996-03-31,-15.95
1997-03-31,-18.65
1998-03-31,-15.6
1999-03-31,-13.9
2000-03-31,-12.35
2001-03-31,-20.65
2002-03-31,-16.299999999999997
2003-03-31,-24.35
2004-03-31,-15.05
2005-03-31,-17.950000000000003
2006-03-31,-14.3
2007-03-31,-23.7
2008-03-31,-19.4
2009-03-31,-18.1
2010-03-31,-7.95
2011-03-31,-17.65
2012-03-31,-12.05
2013-03-31,-12.399999999999999
2014-03-31,-28.7
2015-03-31,-22.75
2016-03-31,-18.35
2017-03-31,-21.549999999999997
2018-03-31,-14.55
