,Date,Indice MAM
0,1988,0.07173913043478258
1,1989,-1.2086956521739132
2,1990,-0.8456521739130435
3,1991,1.0347826086956522
4,1992,-1.7217391304347829
5,1993,-0.5815217391304348
6,1994,-0.7
7,1995,-1.1304347826086958
8,1996,-1.0
9,1997,-3.0913043478260875
10,1998,0.9608695652173912
11,1999,0.934782608695652
12,2000,0.8532608695652174
13,2001,-0.7043478260869563
14,2002,-1.582608695652174
15,2003,-2.5173913043478264
16,2004,-0.873913043478261
17,2005,-0.5945652173913043
18,2006,0.8358695652173911
19,2007,-1.208695652173913
20,2008,-1.6358695652173914
21,2009,-0.6804347826086954
22,2010,1.7945652173913047
23,2011,-0.5043478260869567
24,2012,0.9913043478260868
25,2013,0.3804347826086957
26,2014,-4.760869565217392
27,2015,-2.7663043478260865
28,2016,-2.1510869565217394
29,2017,-1.7641304347826088
30,2018,-1.5586956521739135
