,variable
,MOY
datetime,
1988-11-30,-0.7733333333333332
1989-11-30,-5.4366666666666665
1990-11-30,-2.4
1991-11-30,-2.256666666666667
1992-11-30,-2.999999999999999
1993-11-30,-4.1033333333333335
1994-11-30,-2.0566666666666666
1995-11-30,-5.093333333333333
1996-11-30,-4.596666666666667
1997-11-30,-3.793333333333334
1998-11-30,-1.98
1999-11-30,-1.1066666666666665
2000-11-30,-0.8766666666666667
2001-11-30,-0.7200000000000001
2002-11-30,-4.883333333333334
2003-11-30,-2.840000000000001
2004-11-30,-3.1600000000000006
2005-11-30,-2.5900000000000003
2006-11-30,0.21666666666666665
2007-11-30,-3.4733333333333336
2008-11-30,-1.8133333333333335
2009-11-30,-0.7200000000000001
2010-11-30,-2.796666666666667
2011-11-30,-0.6933333333333332
2012-11-30,-4.963333333333334
2013-11-30,-4.873333333333334
2014-11-30,-4.426666666666667
2015-11-30,-1.25
2016-11-30,0.15999999999999998
2017-11-30,-5.253333333333334
2018-11-30,-5.999999999999999
