,variable
,Tmin10p
datetime,
1988-12-31,-23.0
1989-12-31,-27.6
1990-12-31,-19.7
1991-12-31,-22.2
1992-12-31,-19.9
1993-12-31,-28.549999999999997
1994-12-31,-17.9
1995-12-31,-20.25
1996-12-31,-16.05
1997-12-31,-20.2
1998-12-31,-17.450000000000003
1999-12-31,-19.6
2000-12-31,-23.15
2001-12-31,-11.5
2002-12-31,-19.0
2003-12-31,-17.45
2004-12-31,-21.549999999999997
2005-12-31,-21.55
2006-12-31,-14.7
2007-12-31,-21.5
2008-12-31,-22.1
2009-12-31,-19.35
2010-12-31,-17.05
2011-12-31,-20.5
2012-12-31,-19.75
2013-12-31,-27.75
2014-12-31,-22.0
2015-12-31,-9.3
2016-12-31,-24.0
2017-12-31,-27.200000000000003
2018-12-31,-26.049999999999997
