,variable
,MOY
datetime,
1988-09-30,8.203333333333333
1989-09-30,10.066666666666666
1990-09-30,9.136666666666667
1991-09-30,7.4433333333333325
1992-09-30,9.57
1993-09-30,9.020000000000001
1994-09-30,8.520000000000001
1995-09-30,6.127999999999999
1996-09-30,9.863333333333335
1997-09-30,9.206666666666667
1998-09-30,9.55
1999-09-30,11.203333333333331
2000-09-30,7.4799999999999995
2001-09-30,9.693333333333333
2002-09-30,10.353333333333333
2003-09-30,10.3
2004-09-30,8.463333333333333
2005-09-30,10.113333333333335
2006-09-30,8.45
2007-09-30,8.706666666666667
2008-09-30,9.076666666666664
2009-09-30,8.413333333333334
2010-09-30,10.236666666666668
2011-09-30,11.086666666666668
2012-09-30,8.313333333333333
2013-09-30,8.379999999999999
2014-09-30,7.876666666666668
2015-09-30,11.186666666666666
2016-09-30,8.496666666666666
2017-09-30,10.203333333333337
2018-09-30,8.883333333333331
