,variable
,Tmax90p
datetime,
1988-02-29,-6.37
1989-02-28,-7.08
1990-02-28,-3.6599999999999993
1991-02-28,-1.8199999999999994
1992-02-29,-6.5200000000000005
1993-02-28,-10.66
1994-02-28,-8.639999999999997
1995-02-28,-8.12
1996-02-29,0.8399999999999999
1997-02-28,-5.619999999999999
1998-02-28,-0.8399999999999999
1999-02-28,-4.84
2000-02-29,-2.89
2001-02-28,-6.4799999999999995
2002-02-28,-1.2399999999999998
2003-02-28,-6.119999999999999
2004-02-29,-7.170000000000001
2005-02-28,-3.12
2006-02-28,-3.4399999999999995
2007-02-28,-10.239999999999998
2008-02-29,-5.6
2009-02-28,-4.179999999999999
2010-02-28,-0.19999999999999962
2011-02-28,-6.279999999999999
2012-02-29,-2.2100000000000004
2013-02-28,-2.479999999999999
2014-02-28,-7.399999999999999
2015-02-28,-14.3
2016-02-29,-3.0300000000000007
2017-02-28,-1.88
2018-02-28,-4.119999999999999
