,variable
,Tmin10p
datetime,
1988-04-30,-1.72
1989-04-30,-4.779999999999999
1990-04-30,-6.2
1991-04-30,-3.539999999999999
1992-04-30,-5.26
1993-04-30,-3.06
1994-04-30,-4.4799999999999995
1995-04-30,-8.78
1996-04-30,-4.08
1997-04-30,-9.22
1998-04-30,-1.5799999999999998
1999-04-30,-3.1
2000-04-30,-4.52
2001-04-30,-3.86
2002-04-30,-5.26
2003-04-30,-11.94
2004-04-30,-5.02
2005-04-30,-3.28
2006-04-30,-2.36
2007-04-30,-5.62
2008-04-30,-4.72
2009-04-30,-2.58
2010-04-30,-0.86
2011-04-30,-5.26
2012-04-30,-3.42
2013-04-30,-7.179999999999999
2014-04-30,-9.6
2015-04-30,-15.84
2016-04-30,-13.84
2017-04-30,-4.259999999999999
2018-04-30,-13.86
