,variable
,MOY
datetime,
1988-03-31,-8.993548387096775
1989-03-31,-11.529032258064515
1990-03-31,-8.364516129032259
1991-03-31,-5.748387096774193
1992-03-31,-10.806451612903228
1993-03-31,-9.91935483870968
1994-03-31,-6.245161290322579
1995-03-31,-6.88709677419355
1996-03-31,-8.041935483870969
1997-03-31,-11.0
1998-03-31,-6.625806451612903
1999-03-31,-5.509677419354839
2000-03-31,-3.651612903225806
2001-03-31,-8.59032258064516
2002-03-31,-8.90967741935484
2003-03-31,-10.454838709677418
2004-03-31,-7.529032258064517
2005-03-31,-8.306451612903226
2006-03-31,-6.2774193548387105
2007-03-31,-9.290322580645162
2008-03-31,-11.196774193548384
2009-03-31,-8.629032258064518
2010-03-31,-3.6129032258064515
2011-03-31,-8.303225806451612
2012-03-31,-5.1161290322580655
2013-03-31,-4.6548387096774215
2014-03-31,-17.599999999999998
2015-03-31,-13.238709677419354
2016-03-31,-8.087096774193549
2017-03-31,-11.658064516129032
2018-03-31,-5.912903225806452
