,variable
,Tmin10p
datetime,
1988-10-31,-2.55
1989-10-31,0.7499999999999999
1990-10-31,-0.8999999999999999
1991-10-31,-2.7
1992-10-31,-3.95
1993-10-31,-3.75
1994-10-31,-0.6
1995-10-31,1.3
1996-10-31,-2.45
1997-10-31,-3.95
1998-10-31,-0.25
1999-10-31,-2.3
2000-10-31,-1.9
2001-10-31,-2.15
2002-10-31,-4.9
2003-10-31,-1.7999999999999998
2004-10-31,-1.3
2005-10-31,-0.30000000000000004
2006-10-31,0.0
2007-10-31,-0.9
2008-10-31,-2.8
2009-10-31,-2.85
2010-10-31,-2.35
2011-10-31,-2.5
2012-10-31,-1.4
2013-10-31,-3.25
2014-10-31,-0.8
2015-10-31,-4.699999999999999
2016-10-31,-1.35
2017-10-31,0.05000000000000002
2018-10-31,-4.52
