,Date,Indice MAM
0,1988,11.000000000000004
1,1989,10.120000000000003
2,1990,8.180000000000001
3,1991,10.780000000000003
4,1992,9.260000000000002
5,1993,9.140000000000004
6,1994,7.280000000000001
7,1995,7.840000000000001
8,1996,6.9
9,1997,5.920000000000002
10,1998,10.040000000000001
11,1999,10.420000000000002
12,2000,8.360000000000001
13,2001,9.260000000000002
14,2002,6.500000000000005
15,2003,7.920000000000002
16,2004,7.3000000000000025
17,2005,7.860000000000002
18,2006,9.460000000000003
19,2007,10.24
20,2008,7.04
21,2009,7.620000000000002
22,2010,10.340000000000002
23,2011,8.680000000000001
24,2012,10.040000000000001
25,2013,8.840000000000009
26,2014,8.120000000000003
27,2015,9.040000000000001
28,2016,9.260000000000002
29,2017,9.240000000000004
30,2018,6.980000000000001
