,variable
,Tmin10p
datetime,
1988-05-31,2.7
1989-05-31,5.55
1990-05-31,0.5
1991-05-31,3.0
1992-05-31,0.9
1993-05-31,3.35
1994-05-31,1.4
1995-05-31,1.65
1996-05-31,0.5
1997-05-31,0.35
1998-05-31,5.5
1999-05-31,1.75
2000-05-31,0.8999999999999999
2001-05-31,2.8
2002-05-31,-0.6499999999999999
2003-05-31,1.55
2004-05-31,0.75
2005-05-31,-0.35
2006-05-31,4.45
2007-05-31,0.35
2008-05-31,2.25
2009-05-31,1.7
2010-05-31,0.9
2011-05-31,3.0999999999999996
2012-05-31,1.15
2013-05-31,1.9500000000000002
2014-05-31,2.3
2015-05-31,1.05
2016-05-31,0.8500000000000001
2017-05-31,1.35
2018-05-31,-1.4
