,variable
,Tmax90p
datetime,
1988-04-30,3.7
1989-04-30,3.3800000000000003
1990-04-30,6.36
1991-04-30,4.060000000000001
1992-04-30,3.3200000000000003
1993-04-30,6.340000000000001
1994-04-30,3.4800000000000004
1995-04-30,2.9400000000000013
1996-04-30,4.96
1997-04-30,1.8200000000000003
1998-04-30,4.9
1999-04-30,3.06
2000-04-30,3.1200000000000006
2001-04-30,4.620000000000001
2002-04-30,4.9
2003-04-30,3.8200000000000003
2004-04-30,3.960000000000001
2005-04-30,4.180000000000001
2006-04-30,4.940000000000003
2007-04-30,4.16
2008-04-30,4.0200000000000005
2009-04-30,6.600000000000001
2010-04-30,5.36
2011-04-30,3.8800000000000003
2012-04-30,6.280000000000005
2013-04-30,4.12
2014-04-30,2.22
2015-04-30,3.7600000000000007
2016-04-30,2.2200000000000024
2017-04-30,3.16
2018-04-30,4.98
