,Date,Indice SON
0,1988,-4.199999999999999
1,1989,-9.55
2,1990,-4.05
3,1991,-4.25
4,1992,-6.449999999999999
5,1993,-5.8
6,1994,-4.6
7,1995,-7.1
8,1996,-8.600000000000001
9,1997,-8.0
10,1998,-3.2
11,1999,-4.3
12,2000,-3.8
13,2001,-3.0
14,2002,-8.45
15,2003,-4.4
16,2004,-5.15
17,2005,-4.05
18,2006,-2.6
19,2007,-5.75
20,2008,-5.05
21,2009,-3.1
22,2010,-4.75
23,2011,-3.2
24,2012,-7.8
25,2013,-7.2
26,2014,-5.65
27,2015,-5.05
28,2016,-1.7999999999999998
29,2017,-8.4
30,2018,-10.549999999999999
