,variable
,Tmax90p
datetime,
1988-11-30,4.1400000000000015
1989-11-30,2.8400000000000007
1990-11-30,1.7600000000000002
1991-11-30,4.060000000000003
1992-11-30,2.1000000000000014
1993-11-30,1.1600000000000001
1994-11-30,4.82
1995-11-30,0.5600000000000002
1996-11-30,2.7000000000000015
1997-11-30,4.46
1998-11-30,1.9200000000000004
1999-11-30,3.9200000000000004
2000-11-30,4.78
2001-11-30,6.94
2002-11-30,1.220000000000001
2003-11-30,1.5200000000000002
2004-11-30,2.1400000000000015
2005-11-30,1.6600000000000001
2006-11-30,6.1
2007-11-30,1.5600000000000032
2008-11-30,3.8
2009-11-30,2.86
2010-11-30,2.5800000000000005
2011-11-30,5.040000000000002
2012-11-30,2.660000000000005
2013-11-30,0.8200000000000003
2014-11-30,1.6
2015-11-30,4.1800000000000015
2016-11-30,4.06
2017-11-30,1.4400000000000028
2018-11-30,2.1299999999999994
