,variable
,Tmin10p
datetime,
1988-06-30,5.0200000000000005
1989-06-30,8.42
1990-06-30,7.0600000000000005
1991-06-30,9.040000000000001
1992-06-30,7.24
1993-06-30,6.54
1994-06-30,6.94
1995-06-30,8.08
1996-06-30,9.18
1997-06-30,7.7
1998-06-30,6.74
1999-06-30,8.66
2000-06-30,4.6
2001-06-30,8.26
2002-06-30,6.08
2003-06-30,4.12
2004-06-30,5.14
2005-06-30,6.88
2006-06-30,10.08
2007-06-30,7.840000000000001
2008-06-30,9.02
2009-06-30,5.46
2010-06-30,7.98
2011-06-30,8.48
2012-06-30,6.58
2013-06-30,4.92
2014-06-30,7.4
2015-06-30,4.38
2016-06-30,6.98
2017-06-30,5.36
2018-06-30,4.180000000000001
