,Date,Indice SON
0,1988,11.15
1,1989,12.55
2,1990,11.7
3,1991,10.6
4,1992,11.75
5,1993,11.5
6,1994,10.649999999999999
7,1995,9.5
8,1996,12.65
9,1997,13.0
10,1998,11.25
11,1999,13.75
12,2000,9.6
13,2001,12.45
14,2002,14.05
15,2003,12.1
16,2004,10.600000000000001
17,2005,12.7
18,2006,10.5
19,2007,10.9
20,2008,12.0
21,2009,9.45
22,2010,11.55
23,2011,13.05
24,2012,11.35
25,2013,11.35
26,2014,11.2
27,2015,13.600000000000001
28,2016,11.1
29,2017,12.55
30,2018,11.260000000000002
