,variable
,Tmax90p
datetime,
1988-09-30,13.12
1989-09-30,16.44
1990-09-30,13.500000000000002
1991-09-30,13.540000000000001
1992-09-30,17.240000000000002
1993-09-30,14.260000000000002
1994-09-30,13.3
1995-09-30,11.480000000000004
1996-09-30,14.1
1997-09-30,14.3
1998-09-30,13.520000000000001
1999-09-30,15.72
2000-09-30,12.48
2001-09-30,15.320000000000002
2002-09-30,16.86
2003-09-30,14.660000000000002
2004-09-30,12.06
2005-09-30,14.700000000000001
2006-09-30,13.1
2007-09-30,14.760000000000003
2008-09-30,14.94
2009-09-30,13.400000000000002
2010-09-30,17.020000000000003
2011-09-30,15.280000000000001
2012-09-30,13.980000000000002
2013-09-30,14.32
2014-09-30,14.980000000000002
2015-09-30,16.84
2016-09-30,13.280000000000003
2017-09-30,14.180000000000001
2018-09-30,14.940000000000001
