,variable
,Tmax90p
datetime,
1988-03-31,-0.6
1989-03-31,-0.75
1990-03-31,0.85
1991-03-31,-0.2
1992-03-31,1.35
1993-03-31,-0.8
1994-03-31,0.35
1995-03-31,0.05
1996-03-31,-0.95
1997-03-31,-1.85
1998-03-31,0.9500000000000001
1999-03-31,-0.2
2000-03-31,1.45
2001-03-31,-1.75
2002-03-31,-1.9
2003-03-31,0.55
2004-03-31,-1.15
2005-03-31,-2.8
2006-03-31,0.55
2007-03-31,-1.1
2008-03-31,-3.5999999999999996
2009-03-31,-0.25
2010-03-31,0.85
2011-03-31,-0.25
2012-03-31,1.1
2013-03-31,0.35
2014-03-31,-3.7
2015-03-31,-3.8
2016-03-31,-0.15000000000000002
2017-03-31,-1.55
2018-03-31,-0.4
